Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,wikidata_syn,CLASSES,0.7892984000126857,0.6340911404167371,0.09960317460317461,0.7032328233101357,0.7738693467336684,0.5945945945945946,0.11016949152542373,0.6724890829694322,154,13,45,105,199,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
conference,wikidata_syn,PROPERTIES,0.11587301587301588,0.1634920634920635,0.03968253968253968,0.13562409812409812,0.1935483870967742,0.2608695652173913,0.05714285714285714,0.2222222222222222,12,2,50,34,62,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
conference,wikidata_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
SAP_FS,wikidata_syn,ALL,0.4465791421301238,0.1631791625173494,0.022673654916770706,0.2390206409821365,0.8076090318589545,0.5101602188354826,0.019870609981515713,0.625314333612741,2611,43,622,2507,3233,255346183103,00:04:15,0.5,SYNONYMY,WikidataKnowledgeSource
SAP_FS,wikidata_syn,CLASSES,0.5985576923076923,0.15103106341566058,0.027192982456140345,0.24120106950541909,0.9880952380952381,0.5577956989247311,0.006042296072507553,0.7130584192439863,415,2,5,329,420,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
SAP_FS,wikidata_syn,PROPERTIES,0.4418359236192934,0.1693494811298804,0.021744956121945998,0.2448510184570796,0.7806612157838606,0.5020576131687243,0.02236770321876705,0.6111033811047726,2196,41,617,2178,2813,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
SAP_FS,wikidata_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
anatomy_track,wikidata_syn,ALL,0.9243421052631579,0.741424802110818,0.16930022573363432,0.8228404099560762,0.9243421052631579,0.741424802110818,0.16930022573363432,0.8228404099560762,1124,75,92,392,1216,660295272937,00:11:00,0.5,SYNONYMY,WikidataKnowledgeSource
anatomy_track,wikidata_syn,CLASSES,0.9258649093904449,0.741424802110818,0.16930022573363432,0.8234432234432234,0.9258649093904449,0.741424802110818,0.16930022573363432,0.8234432234432234,1124,75,90,392,1214,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
anatomy_track,wikidata_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
anatomy_track,wikidata_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
